bidId,issueDate,title,invitationNum,bidDueDate,stageId,bidResponseFormat,bidTemplateType,bidTypeId,byInvitation,companyId,stageStr,bidResponseFormatStr,page_scrape,estimatedBid,County,CategoriesList,url
111524,2023-11-08 18:31:36.137,Eastside I-805 Community Greenbelt,CIP No. 22-09,2023-12-13 17:00:00.000,3,1,2,1,False,24103,Bidding,Electronic,1,"$3,000,000.00",San Diego,"['52086 - Road And Highway Building Materials (Asphaltic) ', '52088 - Road And Highway Asphalt And Concrete Handling And Processing Equipment', '52098 - Signs, Sign Materials, Sign Making Equipment, And Related Supplies ', '52153 - Irrigation; Drainage; Flood Control - Architectural ', '52156 - Lighting (Interior, Exterior) - Architectural Services ', '52253 - Construction, Street (Major And Residential)(Includes Reconstruction) ', '52255 - Paving/Resurfacing, Alley And Parking Lot ', '52256 - Paving/Resurfacing, Street (Major And Residential) ', '52259 - Concrete ', '52423 - Sign Painting Services ', '52498 - Sign Making Services ', '52520 - Public Works And Related Services ', '52533 - Pavement Marking Services (Including Removal Of Markings) ', '52540 - Streetscaping Services ', '52541 - Street Light Maintenance And Repair ', '52543 - Telephone (Utility, Light) Pole Installation, And Relocation Service ', '52546 - Traffic Signal Installation ', '52547 - Traffic Signal Maintenance And Repair ', '52550 - Tree And Shrub Removal Services ', '52572 - Fence Installation, Maintenance And Repair ', '52581 - Landscaping (Including Design, Fertilizing, Planting, Etc., But Not Grounds Maintenance Or Tree Trimming Services) ', '52582 - Lighting Services For Parks, Athletic Fields, Parking Lots, Etc. ']",https://pbsystem.planetbids.com/portal/24103/bo/bo-detail/111524
110955,2023-10-19 11:49:30.807,VIDEO MANAGEMENT SYSTEM,019-24,2023-12-11 17:00:00.000,3,1,4,4,False,14593,Bidding,Electronic,1,,San Diego,"['147735 - Computer Hardware And Peripherals For Microcomputers ', '147736 - Computer Hardware And Peripherals For Mini And Main Frame Computers ', '147737 - Computer Accessories And Supplies ', '149734 - Computer Software For Microcomputers (Preprogrammed) ', '149735 - Computer Software For Mini And Mainframe Computers (Preprogrammed) ', '149862 - Sound Systems, Components, And Accessories: Group Intercom, Music, Public Address, Etc. ', '149918 - Consulting Services ', '149920 - Data Processing, Computer, Programming, And Software Services', '149945 - Miscellaneous Prof Services, No. 1 (Not Otherwise Classified)', '149948 - Miscellaneous Services, No. 2  (Not Otherwise Classified)', '149967 - Security, Fire, Safety, And Emergency Services (Including Disaster Document Recovery)']",https://pbsystem.planetbids.com/portal/14593/bo/bo-detail/110955
111674,2023-11-22 08:30:48.637,AUDIO VISUAL UPGRADES & AS-NEEDED SUPPORT SERVICES RE-BID,026-24,2024-01-02 17:00:00.000,3,1,4,4,False,14593,Bidding,Electronic,1,,San Diego,"['28354 - Electrical', '149749 - Electrical Cables And Wires (Not Electronic) ', '149750 - Electrical Equipment And Supplies (Except Cable And Wire) ', '149751 - Electronic Equipment, Components, Parts, And Accessories (See Class 730 For Testing Or Analyzing Type)', '149897 - Construction Services, General (Incl. Maintenance And Repair Services)', '149899 - Construction Services, Heavy  (Incl. Maintenance And Repair Services)', '149900 - Construction Services, Trade (New Construction) ', '149903 - Electrical ', '149917 - Communications And Media Related Services ', '149920 - Data Processing, Computer, Programming, And Software Services', '149922 - Engineering Services, Professional ', '149928 - Equipment Maintenance And Repair Services For General Equipment', '149954 - Public Works And Related Services ']",https://pbsystem.planetbids.com/portal/14593/bo/bo-detail/111674
112293,2023-12-06 10:10:27.180,EAST COUNTY MARKET NIGHTS MANAGEMENT SERVICES,029-24,2024-01-11 17:00:00.000,3,3,4,4,False,14593,Bidding,Electronic and Paper,1,,San Diego,"['149918 - Consulting Services ', '149942 - Management Services ', '149945 - Miscellaneous Prof Services, No. 1 (Not Otherwise Classified)', '149948 - Miscellaneous Services, No. 2  (Not Otherwise Classified)']",https://pbsystem.planetbids.com/portal/14593/bo/bo-detail/112293
109658,2023-11-09 10:00:59.340,"AS-NEEDED SOLID WASTE AND RECYCLING COLLECTION, DISPOSAL AND MANAGEMENT SERVICES",23-24SN,2023-12-12 11:00:00.000,3,1,2,1,False,13982,Bidding,Electronic,1,"1,800,000.00",San Diego,"['13376 - Solid Wastes; Disposal Systems - Architectural Services ', '13416 - Garbage/Trash Removal, Disposal And/Or Treatment ', '13871 - Solid Or Liquid Waste Disposal (Including Management Services) (See 926-45 For Hazardous Waste Disposal)']",https://pbsystem.planetbids.com/portal/13982/bo/bo-detail/109658
111922,2023-11-21 11:07:35.477,LOCATION BASED ANALYTICS SOFTWARE,23-31RH,2023-12-13 13:00:00.000,3,1,4,4,False,13982,Bidding,Electronic,1,,San Diego,"['12918 - Database Software ', '12936 - Database Software', '13547 - Software Maintenance/Support ', '13922 - Rental Or Lease Services Of Computers, Data Processing, And Word Processing Equipment ']",https://pbsystem.planetbids.com/portal/13982/bo/bo-detail/111922
111118,2023-11-01 08:17:13.773,AS-NEEDED DOOR AND ELECTRIC GATE MAINTENANCE SERVICES,23-27MB,2023-12-13 14:00:00.000,3,1,1,4,False,13982,Bidding,Electronic,1,"NTE $500,000",San Diego,"['12764 - Overhead Doors: Garage, Etc. (See Class 450 For Hardware) ', '13024 - Fencing, Chain Link (Including Fabric, Gates, Panels, Posts And Fittings) ', '13388 - Building Construction Services, New  (Incl. Maintenance And Repair Services)', '13404 - Building Maintenance, Installation And Repair Services ', '13408 - Carpentry Maintenance And Repair Services ', '13428 - Plant Maintenance, Indoor ', '13434 - Window Installation, Maintenance And Repair (Metal) ', '13687 - Codification Of Government Codes (To Include Code Conversion And Code Maintenance Services) ']",https://pbsystem.planetbids.com/portal/13982/bo/bo-detail/111118
111365,2023-11-09 07:51:12.340,NAVY PIER FREEDOM PARK HEADHOUSE DEMOLITION,2022-26,2024-01-03 14:00:00.000,3,1,2,1,False,13982,Bidding,Electronic,1,"$8,568,000.00",San Diego,"['13361 - General Construction - Architectural ', '13388 - Building Construction Services, New  (Incl. Maintenance And Repair Services)', '13421 - Lead Abatement Services ', '13438 - Construction Services, General (Incl. Maintenance And Repair Services)', '13439 - Construction, General (Backfill Services, Digging, Ditching, Road Grading, Rock Stabilization, Etc.)', '13442 - Demolition Services ', '13463 - Construction Services, Trade (New Construction) ', '13466 - Electrical ', '13476 - Trade Services, Construction (Not Otherwise Classified)', '13493 - Video Recording ', '13564 - Soil Pollution Services ', '13693 - Decontamination Services (Incl. Hazardous Material Decontamination) ', '13882 - Traffic Control Services (To Include Placement And Removal Of Control Devices) ']",https://pbsystem.planetbids.com/portal/13982/bo/bo-detail/111365
112259,2023-12-07 08:38:02.330,DEMOLITION OF SUITE C6A-AB AND REPAIRS OF SUITE C6-AB AT SEAPORT VILLAGE,2022-06,2024-01-08 14:00:00.000,3,1,2,1,False,13982,Bidding,Electronic,1,"$170,000.00",San Diego,"['13361 - General Construction - Architectural ', '13388 - Building Construction Services, New  (Incl. Maintenance And Repair Services)', '13416 - Garbage/Trash Removal, Disposal And/Or Treatment ', '13419 - Insulation And Asbestos Installation, Maintenance, Repair And Removal Services (Includes Spray-On Insulation)', '13425 - Painting, Maintenance And Repair Services (Including Caulking) ', '13438 - Construction Services, General (Incl. Maintenance And Repair Services)', '13442 - Demolition Services ', '13447 - Construction Services, Heavy  (Incl. Maintenance And Repair Services)', '13559 - General Construction: Management, Scheduling, Cost Estimation - Engineering ', '13866 - Pavement Marking Services (Including Removal Of Markings) ']",https://pbsystem.planetbids.com/portal/13982/bo/bo-detail/112259
112266,2023-12-06 15:21:33.310,FIRE ALARM AND SECURITY SYSTEMS MONITORING AND MAINTENANCE SERVICES,23-30JJP,2024-01-10 14:00:00.000,3,1,4,4,False,13982,Bidding,Electronic,1,,San Diego,"['13030 - Fire Alarm Systems, Power Sirens, And Controls ', '13215 - Access Control Systems And Security Systems ', '13597 - Security And Access Systems Maintenance And Repair ', '13963 - Security, Fire, Safety, And Emergency Services (Including Disaster Document Recovery)', '13964 - Alarm Services ']",https://pbsystem.planetbids.com/portal/13982/bo/bo-detail/112266
