bidId,issueDate,title,invitationNum,bidDueDate,stageId,bidResponseFormat,bidTemplateType,bidTypeId,byInvitation,companyId,stageStr,bidResponseFormatStr,page_scrape,estimatedBid,County,CategoriesList,url
112157,2023-11-30 15:33:06.160,West End Pump Station VFD Replacement CIP No. SD2401,,2023-12-21 08:30:00.000,3,2,2,1,False,39491,Bidding,Paper,1,,Orange,"['205247 - Other Heavy and Civil Engineering Construction', '205256 - Electrical Contractors and Other Wiring Installation Contractors', '206003 - Engineering Services']",https://pbsystem.planetbids.com/portal/39491/bo/bo-detail/112157
112160,2023-11-30 15:52:20.970,Pedestrian Improvements (Central Way at 1st Street) CIP No. O-ST-4,,2023-12-21 09:00:00.000,3,2,2,1,False,39491,Bidding,Paper,1,,Orange,"['205246 - Highway, Street, and Bridge Construction', '205247 - Other Heavy and Civil Engineering Construction', '205248 - Poured Concrete Foundation and Structure Contractors', '206003 - Engineering Services']",https://pbsystem.planetbids.com/portal/39491/bo/bo-detail/112160
111754,2023-11-17 08:28:29.227,MARINA HILLS PARK IMPROVEMENT PROJECT,CASH CONTRACT NO. 22-15,2023-12-14 17:00:00.000,3,1,2,1,False,44601,Bidding,Electronic,1,$750.000,Orange,"['276232 - Soil Preparation, Planting, and Cultivating', '276275 - Water Supply and Irrigation Systems', '276284 - Water and Sewer Line and Related Structures Construction', '276290 - Poured Concrete Foundation and Structure Contractors', '276298 - Electrical Contractors and Other Wiring Installation Contractors', '276774 - Sign Manufacturing', '277158 - Landscaping Services']",https://pbsystem.planetbids.com/portal/44601/bo/bo-detail/111754
111863,2023-11-17 16:15:20.690,Active Transportation Plan,,2023-12-21 14:00:00.000,3,1,4,4,False,44601,Bidding,Electronic,1,"$225,000.00",Orange,"['276972 - Other Support Activities for Road Transportation', '276975 - All Other Support Activities for Transportation', '277090 - Engineering Services', '277106 - Marketing Consulting Services', '277340 - Administration of Urban Planning and Community and Rural Development']",https://pbsystem.planetbids.com/portal/44601/bo/bo-detail/111863
112366,2023-12-07 16:28:03.650,LA PAZ ROAD LONG-TERM PHASE II PROJECT,CASH CONTRACT NO. 23-17,2024-01-11 14:00:00.000,3,1,2,1,False,44601,Bidding,Electronic,1,"$1,468,000.00",Orange,"['276275 - Water Supply and Irrigation Systems', '276288 - Highway, Street, and Bridge Construction', '276290 - Poured Concrete Foundation and Structure Contractors', '276466 - Asphalt Paving Mixture and Block Manufacturing', '276695 - Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing', '277158 - Landscaping Services']",https://pbsystem.planetbids.com/portal/44601/bo/bo-detail/112366
111471,2023-11-07 08:03:22.723,"Rehabiliation of Newland Street , (Project # 24012)",23-015,2023-12-11 16:00:00.000,3,1,2,1,False,25002,Bidding,Electronic,1,,Orange,"['42378 - Engineering And Architectural Equipment, Surveying Equipment, Drawing Instruments, And Supplies', '42502 - Highways; Streets; Airport Pay-Parking Lots - Architectural ', '42523 - Architectural And Engineering Services, Non-Professional ', '42598 - Construction, Street (Major And Residential)(Includes Reconstruction) ', '42601 - Paving/Resurfacing, Street (Major And Residential) ', '42646 - Engineering Consulting ', '42681 - Engineering Services, Professional ', '42866 - Streetscaping Services ', '58743 - Bid Houses', '58745 - BID PLAN ROOMS']",https://pbsystem.planetbids.com/portal/25002/bo/bo-detail/111471
111999,2023-11-27 07:41:25.383,Traffic Signal Modifications for Euclid Street at Condor Avenue and Talbert Avenue at Bushard Street (proj# 24014),RFB 23-007,2023-12-12 16:00:00.000,3,1,2,1,False,25002,Bidding,Electronic,1,,Orange,"['42415 - Markers, Plaques And Traffic Control Devices ', '42598 - Construction, Street (Major And Residential)(Includes Reconstruction) ', '42872 - Traffic Signal Installation ', '42873 - Traffic Signal Maintenance And Repair ', '58743 - Bid Houses', '58745 - BID PLAN ROOMS']",https://pbsystem.planetbids.com/portal/25002/bo/bo-detail/111999
111876,2023-11-18 21:54:47.283,Professional Auditing Services,RFP 23-017,2023-12-21 16:00:00.000,3,1,4,4,False,25002,Bidding,Electronic,1,,Orange,"['42623 - Accounting/Auditing/Budget Consulting ', '42693 - Auditing ']",https://pbsystem.planetbids.com/portal/25002/bo/bo-detail/111876
111965,2023-11-22 09:50:34.473,Assembled Traffic Controller Cabinets,23-176,2023-12-14 14:00:00.000,3,1,1,1,False,20137,Bidding,Electronic,1,,Orange,"['33884 - Cords, Power, Electrical', '33910 - Traffic Signals and Equipment, Electric Systems ', '60450 - Electrical Maintenance and Repair Services ']",https://pbsystem.planetbids.com/portal/20137/bo/bo-detail/111965
111826,2023-11-20 11:06:16.277,Street Lighting Poles and Materials,23-175,2023-12-14 14:00:00.000,3,1,1,1,False,20137,Bidding,Electronic,1,,Orange,"['32293 - Street and Highway Lighting Luminaires, Accessories and Parts ', '32294 - Street Light Poles and Standards ']",https://pbsystem.planetbids.com/portal/20137/bo/bo-detail/111826
