bidId,issueDate,title,invitationNum,bidDueDate,stageId,bidResponseFormat,bidTemplateType,bidTypeId,byInvitation,companyId,stageStr,bidResponseFormatStr,page_scrape,estimatedBid,County,CategoriesList,url
111525,2023-11-09 14:47:33.440,EMERGENCY ALERTING PHONE AND RECORDING SYSTEMS FOR THE ONTARIO INTERNATIONAL AIRPORT,2023-RFP-015,2023-12-14 17:00:00.000,3,1,1,4,False,31225,Bidding,Electronic,1,,San Bernardino,"['100138 - Airport Equipment (Not Otherwise Classified) ', '100645 - Transmitters, Emergency Alarm Type (To incl. Equipment Operation Status Reporting)', '108344 - Other Airport Operations']",https://pbsystem.planetbids.com/portal/31225/bo/bo-detail/111525
111229,2023-10-27 18:05:21.987,Security System Enhancements (SSE) Phase 1 and 2 for ONTARIO INTERNATIONAL AIRPORT,2023-RFP-011,2023-12-15 14:00:00.000,3,1,4,4,False,31225,Bidding,Electronic,1,,San Bernardino,"['99466 - Security and Access Systems Maintenance and Repair ', '99604 - Airport Management Services ', '99811 - Security/Safety Consulting ', '101415 - Security and Access Systems (Airport, Library, Hospitals, etc.) Rental or Lease ', '101884 - Access Control Systems and Security Systems ', '102441 - Security Screening Services, Personnel ', '102493 - Airport Facility Construction ', '102494 - Airport Facility Maintenance and Repair ', '108344 - Other Airport Operations', '108534 - Security Systems Services (except Locksmiths)']",https://pbsystem.planetbids.com/portal/31225/bo/bo-detail/111229
111872,2023-11-17 18:03:59.213,Digital Media Agency for Ontario International Airport,2023-RFP-017,2024-01-11 17:00:00.000,3,1,4,4,False,31225,Bidding,Electronic,1,,San Bernardino,"['99819 - Application, Infrastructure, Hosting and Cloud Computing Services', '99835 - E-Commerce Software Development Services ', '99852 - Software Maintenance/Support ', '102712 - Web Page Design, Management and Maintenance Services', '102733 - Computer Software Consulting ', '102762 - Marketing Consulting ', '108390 - Data Processing, Hosting, and Related Services', '108486 - Marketing Consulting Services']",https://pbsystem.planetbids.com/portal/31225/bo/bo-detail/111872
111853,2023-11-17 11:22:15.927,Gene Pumping Plant Urgent Security Improvements,M-3073,2023-12-12 14:00:00.000,3,1,2,1,False,16151,Bidding,Electronic,1,"$220,000 and $240,000.",Los Angeles,"['132283 - POWER TRANSMISSION EQUIPMENT - ELECTRICAL, MECHANI', '132497 - INTERVAL TIMERS AND ACTUATORS, ELECTRICAL AND MECH', '132660 - ELECTRICAL', '132774 - ELECTRICAL', '133442 - ELECTRICAL EQUIPMENT (EXCEPT CABLE AND WIRES, AND', '133649 - ELECTRICAL CABLES AND WIRES (NOT ELECTRONIC)', '133762 - ELECTRICAL ACCESSORIES: ALTERNATORS, AMMETERS, COI', '133763 - ELECTRICAL PARTS (NOT IGNITION)', '133886 - ELECTRICAL EQUIPMENT AND SUPPLIES RENTAL OR LEASE', '134232 - NETWORKING SERVICES', '134285 - ELECTRICAL CABLES AND WIRES FOR JIT CONTRACTS', '134286 - ELECTRICAL EQUIPMENT AND SUPPLIES (EXCEPT CABLE AN', '134426 - ELECTRICAL (ALTERNATOR/GENERATOR, BATTERY, IGNITIO', '134495 - VIDEO CAMERAS-RECORDERS, ACCESSORIES AND PARTS (PO', '134680 - COATINGS, PROTECTIVE, ELECTRICAL', '134702 - ELECTRICAL ACCESSORIES AND PARTS, MARINE', '134867 - CAMERAS, DIGITAL, FOR WINDOWS', '135070 - WIRING AND OTHER ELECTRICAL MAINTENANCE AND REPAIR', '135071 - CONSTRUCTION SERVICES, GENERAL', '177296 - Cameras Video Portable Body and Dash']",https://pbsystem.planetbids.com/portal/16151/bo/bo-detail/111853
111740,2023-11-16 11:06:04.343,Red Hat Enterprise Linux Software Technical Support,RFB-AS-437128,2023-12-13 11:00:00.000,3,1,1,1,False,16151,Bidding,Electronic,1,,Los Angeles,"['132740 - SOFTWARE MAINTENANCE/SUPPORT', '132741 - SUPPORT SERVICES, COMPUTER', '134591 - SOFTWARE, COMPUTER, RENTAL OR LEASE']",https://pbsystem.planetbids.com/portal/16151/bo/bo-detail/111740
111713,2023-11-14 16:51:04.960,F. E. Weymouth Filtration Plant Hazardous Waste Staging and Containment,1992,2023-12-19 14:00:00.000,3,1,2,1,False,16151,Bidding,Electronic,1,"$1,200,000 - $1,400,000",Los Angeles,"['132283 - POWER TRANSMISSION EQUIPMENT - ELECTRICAL, MECHANI', '132415 - ELECTRICAL EQUIPMENT AND SUPPLIES, JIT CONTRACTS', '132660 - ELECTRICAL', '132774 - ELECTRICAL', '133509 - PAVING MARKING SERVICES', '133649 - ELECTRICAL CABLES AND WIRES (NOT ELECTRONIC)', '133762 - ELECTRICAL ACCESSORIES: ALTERNATORS, AMMETERS, COI', '133886 - ELECTRICAL EQUIPMENT AND SUPPLIES RENTAL OR LEASE', '134002 - FENCING', '134003 - CHAIN LINK FENCING (INCLUDING FABRIC, GATES, PANEL', '134004 - FENCING, METAL SLAT AND TUBULAR (INCLUDING COMPONE', '134006 - TEMPORARY FENCING (FOR CONSTRUCTION AND OTHER INDU', '134007 - FENCING, WOOD (INCLUDING COMPONENTS)', '134285 - ELECTRICAL CABLES AND WIRES FOR JIT CONTRACTS', '134286 - ELECTRICAL EQUIPMENT AND SUPPLIES (EXCEPT CABLE AN', '134294 - CABINETS, ELECTRICAL SERVICE ENTRANCE', '134426 - ELECTRICAL (ALTERNATOR/GENERATOR, BATTERY, IGNITIO', '134680 - COATINGS, PROTECTIVE, ELECTRICAL', '134702 - ELECTRICAL ACCESSORIES AND PARTS, MARINE', '134997 - PAVING AND STEPPING BLOCKS', '135071 - CONSTRUCTION SERVICES, GENERAL', '135280 - PNEUMATIC MACHINES: DEMOLITION TOOLS, PAVING BREAK', '177282 - Fencing Adobe Cinderblock and Sand']",https://pbsystem.planetbids.com/portal/16151/bo/bo-detail/111713
110315,2023-10-03 10:33:04.290,Furnishing a Brushless Motor Exciter System for Gene Pumping Plant Unit No. 1,2056,2023-12-19 14:00:00.000,3,3,2,1,False,16151,Bidding,Electronic and Paper,1,"$350,000 - $400,000",Los Angeles,"['134404 - MOTORS AND PARTS, INTEGRAL H.P., THREE PHASE, ELEC', '134564 - MOTORS (AC, DC, VECTOR DUTY, WASHDOWN, BRAKE, STAI']",https://pbsystem.planetbids.com/portal/16151/bo/bo-detail/110315
109607,2023-09-13 09:50:00.210,Furnishing a 132-Inch Butterfly Valve for the Foothill Pump Station Intertie,2096,2023-12-19 14:00:00.000,3,1,2,1,False,16151,Bidding,Electronic,1,$2.0M to $2.5M,Los Angeles,"['132287 - VALVES, BUTTERFLY, ALL KINDS', '132296 - VALVES, STAINLESS STEEL: ANGLE, BALL, CHECK, GATE,', '132297 - VALVES, STEEL: ANGLE, CHECK, GATE, GLOBE, ETC.', '132305 - VALVES, MISCELLANEOUS']",https://pbsystem.planetbids.com/portal/16151/bo/bo-detail/109607
112297,2023-12-06 09:48:36.227,Loader Backhoe,RFB-GL-437932,2023-12-20 11:00:00.000,3,1,1,1,False,16151,Bidding,Electronic,1,,Los Angeles,"['132019 - BACKHOE/LOADER COMBINATION', '132030 - LOADERS, FRONT END (FOR CRAWLER TRACTORS)', '132032 - LOADERS, FRONT END (FOR WHEEL TYPE TRACTORS)', '134729 - EARTH MOVING EQUIPMENT (GRADERS, DOZERS, LOADERS, ']",https://pbsystem.planetbids.com/portal/16151/bo/bo-detail/112297
112038,2023-11-28 09:13:05.507,MULTIMEDIA PLACEMENT CONSULTING SERVICES FOR WATER AWARENESS AND OUTREACH CAMPAIGN,RFP-EA-436884,2024-01-12 11:00:00.000,3,1,4,4,False,16151,Bidding,Electronic,1,"10,500,000.00",Los Angeles,"['25371 - Social Media Management Services', '132663 - COMMUNICATIONS AND MEDIA RELATED SERVICES', '132664 - ADVERTISING (NOTICE OF BID SOLICITATION)', '132665 - ADVERTISING/PUBLIC RELATIONS', '132666 - ADVERTISING, OUTDOOR BILLBOARD, ETC.', '132680 - ADVERTISING CONSULTING', '132689 - COMMUNICATIONS: PUBLIC RELATIONS CONSULTING', '134230 - MEDIA CONVERSION SERVICES', '135457 - MARKETING CONSULTING', '177310 - Advertising Digital']",https://pbsystem.planetbids.com/portal/16151/bo/bo-detail/112038
