bidId,issueDate,title,invitationNum,bidDueDate,stageId,bidResponseFormat,bidTemplateType,bidTypeId,byInvitation,companyId,stageStr,bidResponseFormatStr,page_scrape,estimatedBid,County,CategoriesList,url
111525,2023-11-09 14:47:33.440,EMERGENCY ALERTING PHONE AND RECORDING SYSTEMS FOR THE ONTARIO INTERNATIONAL AIRPORT,2023-RFP-015,2023-12-14 17:00:00.000,3,1,1,4,False,31225,Bidding,Electronic,1,,San Bernardino,"['100138 - Airport Equipment (Not Otherwise Classified) ', '100645 - Transmitters, Emergency Alarm Type (To incl. Equipment Operation Status Reporting)', '108344 - Other Airport Operations']",https://pbsystem.planetbids.com/portal/31225/bo/bo-detail/111525
111229,2023-10-27 18:05:21.987,Security System Enhancements (SSE) Phase 1 and 2 for ONTARIO INTERNATIONAL AIRPORT,2023-RFP-011,2023-12-15 14:00:00.000,3,1,4,4,False,31225,Bidding,Electronic,1,,San Bernardino,"['99466 - Security and Access Systems Maintenance and Repair ', '99604 - Airport Management Services ', '99811 - Security/Safety Consulting ', '101415 - Security and Access Systems (Airport, Library, Hospitals, etc.) Rental or Lease ', '101884 - Access Control Systems and Security Systems ', '102441 - Security Screening Services, Personnel ', '102493 - Airport Facility Construction ', '102494 - Airport Facility Maintenance and Repair ', '108344 - Other Airport Operations', '108534 - Security Systems Services (except Locksmiths)']",https://pbsystem.planetbids.com/portal/31225/bo/bo-detail/111229
111872,2023-11-17 18:03:59.213,Digital Media Agency for Ontario International Airport,2023-RFP-017,2024-01-11 17:00:00.000,3,1,4,4,False,31225,Bidding,Electronic,1,,San Bernardino,"['99819 - Application, Infrastructure, Hosting and Cloud Computing Services', '99835 - E-Commerce Software Development Services ', '99852 - Software Maintenance/Support ', '102712 - Web Page Design, Management and Maintenance Services', '102733 - Computer Software Consulting ', '102762 - Marketing Consulting ', '108390 - Data Processing, Hosting, and Related Services', '108486 - Marketing Consulting Services']",https://pbsystem.planetbids.com/portal/31225/bo/bo-detail/111872
111828,2023-11-16 16:58:23.670,On Call Professional Geotechnical Engineering and Materials Testing Services,,2023-12-18 15:00:00.000,3,1,4,4,False,39477,Bidding,Electronic,1,,Riverside,"['178489 - Engineering Services', '178492 - Geophysical Surveying and Mapping Services']",https://pbsystem.planetbids.com/portal/39477/bo/bo-detail/111828
111636,2023-11-13 10:38:06.683,On-Call Services for City of Hemet Sewer System Management Plan,,2023-12-18 15:00:00.000,3,1,4,4,False,39477,Bidding,Electronic,1,,Riverside,"['177685 - Water and Sewer Line and Related Structures Construction', '177690 - Other Heavy and Civil Engineering Construction', '178489 - Engineering Services', '178503 - Administrative Management and General Management Consulting Services', '178508 - Environmental Consulting Services', '178509 - Other Scientific and Technical Consulting Services']",https://pbsystem.planetbids.com/portal/39477/bo/bo-detail/111636
112133,2023-11-30 09:30:27.733,Professional Engineering Services for CIP 5706,,2024-01-03 15:00:00.000,3,1,4,4,False,39477,Bidding,Electronic,1,,Riverside,"['177690 - Other Heavy and Civil Engineering Construction', '178489 - Engineering Services']",https://pbsystem.planetbids.com/portal/39477/bo/bo-detail/112133
112325,2023-12-06 17:34:01.137,Development Impact Fee Evaluation,,2024-01-18 17:00:00.000,3,3,4,4,False,45040,Bidding,Electronic and Paper,1,,Los Angeles,['362298 - Professional Services'],https://pbsystem.planetbids.com/portal/45040/bo/bo-detail/112325
111523,2023-11-08 14:28:25.230,Fontana Community Senior Center Beauty Salon Operator,CS-24-85-SP,2023-12-14 14:00:00.000,3,3,1,4,False,14391,Bidding,Electronic and Paper,1,,San Bernardino,['142631 - Barber And Beauty Shop Equipment And Supplies '],https://pbsystem.planetbids.com/portal/14391/bo/bo-detail/111523
112356,2023-12-07 15:01:31.827,Stage RED Interior Remodel,DE-24-25-SB,2023-12-20 14:00:00.000,3,1,2,1,False,14391,Bidding,Electronic,1,"$1,400,000",San Bernardino,"['143101 - General Construction - Architectural ', '143126 - Building Construction Services, New  (Incl. Maintenance And Repair Services)', '143134 - Building Construction, Commercial And Institutional', '143167 - Remodeling And Alterations ']",https://pbsystem.planetbids.com/portal/14391/bo/bo-detail/112356
112317,2023-12-07 14:48:16.470,"Randall Avenue Project, Catawba Avenue to Citrus Avenue",DE-24-88-SB,2024-01-04 14:00:00.000,3,1,2,1,False,14391,Bidding,Electronic,1,"$1,164,853.00",San Bernardino,"['143017 - Road And Highway Building Materials (Asphaltic) ', '143018 - Road And Highway Building Materials (Not Asphaltic) ', '143021 - Road And Highway Asphalt And Concrete Handling And Processing Equipment', '143104 - Highways; Streets; Airport Pay-Parking Lots - Architectural ', '143181 - Maintenance And Repair, Street Lighting ', '143189 - Construction, Street (Major And Residential)(Includes Reconstruction) ', '143195 - Maintenance And Repair, Street (Major And Residential) ', '143199 - Paving/Resurfacing, Street (Major And Residential) ', '143554 - Public Works And Related Services ']",https://pbsystem.planetbids.com/portal/14391/bo/bo-detail/112317
