bidId,issueDate,title,invitationNum,bidDueDate,stageId,bidResponseFormat,bidTemplateType,bidTypeId,byInvitation,companyId,stageStr,bidResponseFormatStr,page_scrape,estimatedBid,County,CategoriesList,url
112107,2023-11-29 14:35:45.420,MANAGED PRINT SERVICES,IT-2023-001,2024-01-10 16:00:00.000,3,1,4,4,False,14210,Bidding,Electronic,1,,Los Angeles,"['145772 - Office Machines, Equipment, And Accessories ', '146054 - Equipment Maintenance And Repair Services For General Equipment', '146056 - Equipment Maintenance And Repair Services For Computers, Office, Photographic, And Radio/Television Equipment', '146098 - Miscellaneous Services, No. 1 (Not Otherwise Classified)', '146157 - Miscellaneous Services, No. 2  (Not Otherwise Classified)', '146286 - Rental Or Lease Services Of Office, Photographic, Printing, Radio/Television/Telephone Equipment']",https://pbsystem.planetbids.com/portal/14210/bo/bo-detail/112107
112183,2023-12-06 08:47:54.393,MCCAMBRIDGE PARK POOL REPAIR,BS NO. 1525,2024-01-16 14:00:00.000,3,1,2,1,False,14210,Bidding,Electronic,1,325000,Los Angeles,"['145782 - Park, Playground, Recreational Area And Swimming Pool Equipment And Supplies']",https://pbsystem.planetbids.com/portal/14210/bo/bo-detail/112183
112146,2023-11-30 14:56:06.443,"CONTRACT OPERATION AND MAINTENANCE OF THE BURBANK WATER RECLAMATION PLANT AND ASSOCIATED FACILITIES, INDUSTRIAL WASTEWATER PRETREATMENT PROGRAM, AND ILLICIT STORMWATER PROGRAM",PW-2023-001,2024-01-17 16:00:00.000,3,1,4,4,False,14210,Bidding,Electronic,1,,Los Angeles,"['145835 - Water And Wastewater Treating Chemicals ', '145836 - Water Supply, Groundwater, Sewage Treatment, And Related Equipment (Not For Air Conditioning, Steam Boiler, Or Laboratory Reagent Water) ', '145941 - Public Utilities: Water, Sewer And Gas Maintenance And Repair ', '146273 - Water Supply Plant Operating And Monitoring System Services (Including Water Resources Development And Water Quality Management Services) ', '146276 - Wastewater Treatment Plant, Operations, And Testing', '146277 - Water And Wastewater Treatment Services ']",https://pbsystem.planetbids.com/portal/14210/bo/bo-detail/112146
111722,2023-11-15 09:30:43.753,DOWNTOWN METROLINK STATION WATERPROOFING & ELEVATOR MODERNIZATION,BS No. 1522,2024-01-30 14:00:00.000,3,3,2,1,False,14210,Bidding,Electronic and Paper,1,"$1,035,000",Los Angeles,"['145703 - Elevators, Escalators, And Moving Walks (Building Type)', '145900 - Building Construction Services, New  (Incl. Maintenance And Repair Services)', '145901 - Building Maintenance, Installation And Repair Services ', '145912 - Elevator Installation, Maintenance And Repair ', '145918 - Fire And/Or Water Damage Restoration Services ', '145940 - Protection Of Building From Weather Or Vandalism ', '145956 - Weather And Waterproofing Maintenance And Repair Services ', '145962 - Construction Services, General (Incl. Maintenance And Repair Services)', '145964 - Construction Services, Trade (New Construction) ', '146070 - Building And Facilities Management Services ', '146098 - Miscellaneous Services, No. 1 (Not Otherwise Classified)', '146157 - Miscellaneous Services, No. 2  (Not Otherwise Classified)', '146275 - Waterproofing Systems And Repair ']",https://pbsystem.planetbids.com/portal/14210/bo/bo-detail/111722
111853,2023-11-17 11:22:15.927,Gene Pumping Plant Urgent Security Improvements,M-3073,2023-12-12 14:00:00.000,3,1,2,1,False,16151,Bidding,Electronic,1,"$220,000 and $240,000.",Los Angeles,"['132283 - POWER TRANSMISSION EQUIPMENT - ELECTRICAL, MECHANI', '132497 - INTERVAL TIMERS AND ACTUATORS, ELECTRICAL AND MECH', '132660 - ELECTRICAL', '132774 - ELECTRICAL', '133442 - ELECTRICAL EQUIPMENT (EXCEPT CABLE AND WIRES, AND', '133649 - ELECTRICAL CABLES AND WIRES (NOT ELECTRONIC)', '133762 - ELECTRICAL ACCESSORIES: ALTERNATORS, AMMETERS, COI', '133763 - ELECTRICAL PARTS (NOT IGNITION)', '133886 - ELECTRICAL EQUIPMENT AND SUPPLIES RENTAL OR LEASE', '134232 - NETWORKING SERVICES', '134285 - ELECTRICAL CABLES AND WIRES FOR JIT CONTRACTS', '134286 - ELECTRICAL EQUIPMENT AND SUPPLIES (EXCEPT CABLE AN', '134426 - ELECTRICAL (ALTERNATOR/GENERATOR, BATTERY, IGNITIO', '134495 - VIDEO CAMERAS-RECORDERS, ACCESSORIES AND PARTS (PO', '134680 - COATINGS, PROTECTIVE, ELECTRICAL', '134702 - ELECTRICAL ACCESSORIES AND PARTS, MARINE', '134867 - CAMERAS, DIGITAL, FOR WINDOWS', '135070 - WIRING AND OTHER ELECTRICAL MAINTENANCE AND REPAIR', '135071 - CONSTRUCTION SERVICES, GENERAL', '177296 - Cameras Video Portable Body and Dash']",https://pbsystem.planetbids.com/portal/16151/bo/bo-detail/111853
111740,2023-11-16 11:06:04.343,Red Hat Enterprise Linux Software Technical Support,RFB-AS-437128,2023-12-13 11:00:00.000,3,1,1,1,False,16151,Bidding,Electronic,1,,Los Angeles,"['132740 - SOFTWARE MAINTENANCE/SUPPORT', '132741 - SUPPORT SERVICES, COMPUTER', '134591 - SOFTWARE, COMPUTER, RENTAL OR LEASE']",https://pbsystem.planetbids.com/portal/16151/bo/bo-detail/111740
111713,2023-11-14 16:51:04.960,F. E. Weymouth Filtration Plant Hazardous Waste Staging and Containment,1992,2023-12-19 14:00:00.000,3,1,2,1,False,16151,Bidding,Electronic,1,"$1,200,000 - $1,400,000",Los Angeles,"['132283 - POWER TRANSMISSION EQUIPMENT - ELECTRICAL, MECHANI', '132415 - ELECTRICAL EQUIPMENT AND SUPPLIES, JIT CONTRACTS', '132660 - ELECTRICAL', '132774 - ELECTRICAL', '133509 - PAVING MARKING SERVICES', '133649 - ELECTRICAL CABLES AND WIRES (NOT ELECTRONIC)', '133762 - ELECTRICAL ACCESSORIES: ALTERNATORS, AMMETERS, COI', '133886 - ELECTRICAL EQUIPMENT AND SUPPLIES RENTAL OR LEASE', '134002 - FENCING', '134003 - CHAIN LINK FENCING (INCLUDING FABRIC, GATES, PANEL', '134004 - FENCING, METAL SLAT AND TUBULAR (INCLUDING COMPONE', '134006 - TEMPORARY FENCING (FOR CONSTRUCTION AND OTHER INDU', '134007 - FENCING, WOOD (INCLUDING COMPONENTS)', '134285 - ELECTRICAL CABLES AND WIRES FOR JIT CONTRACTS', '134286 - ELECTRICAL EQUIPMENT AND SUPPLIES (EXCEPT CABLE AN', '134294 - CABINETS, ELECTRICAL SERVICE ENTRANCE', '134426 - ELECTRICAL (ALTERNATOR/GENERATOR, BATTERY, IGNITIO', '134680 - COATINGS, PROTECTIVE, ELECTRICAL', '134702 - ELECTRICAL ACCESSORIES AND PARTS, MARINE', '134997 - PAVING AND STEPPING BLOCKS', '135071 - CONSTRUCTION SERVICES, GENERAL', '135280 - PNEUMATIC MACHINES: DEMOLITION TOOLS, PAVING BREAK', '177282 - Fencing Adobe Cinderblock and Sand']",https://pbsystem.planetbids.com/portal/16151/bo/bo-detail/111713
110315,2023-10-03 10:33:04.290,Furnishing a Brushless Motor Exciter System for Gene Pumping Plant Unit No. 1,2056,2023-12-19 14:00:00.000,3,3,2,1,False,16151,Bidding,Electronic and Paper,1,"$350,000 - $400,000",Los Angeles,"['134404 - MOTORS AND PARTS, INTEGRAL H.P., THREE PHASE, ELEC', '134564 - MOTORS (AC, DC, VECTOR DUTY, WASHDOWN, BRAKE, STAI']",https://pbsystem.planetbids.com/portal/16151/bo/bo-detail/110315
109607,2023-09-13 09:50:00.210,Furnishing a 132-Inch Butterfly Valve for the Foothill Pump Station Intertie,2096,2023-12-19 14:00:00.000,3,1,2,1,False,16151,Bidding,Electronic,1,$2.0M to $2.5M,Los Angeles,"['132287 - VALVES, BUTTERFLY, ALL KINDS', '132296 - VALVES, STAINLESS STEEL: ANGLE, BALL, CHECK, GATE,', '132297 - VALVES, STEEL: ANGLE, CHECK, GATE, GLOBE, ETC.', '132305 - VALVES, MISCELLANEOUS']",https://pbsystem.planetbids.com/portal/16151/bo/bo-detail/109607
112297,2023-12-06 09:48:36.227,Loader Backhoe,RFB-GL-437932,2023-12-20 11:00:00.000,3,1,1,1,False,16151,Bidding,Electronic,1,,Los Angeles,"['132019 - BACKHOE/LOADER COMBINATION', '132030 - LOADERS, FRONT END (FOR CRAWLER TRACTORS)', '132032 - LOADERS, FRONT END (FOR WHEEL TYPE TRACTORS)', '134729 - EARTH MOVING EQUIPMENT (GRADERS, DOZERS, LOADERS, ']",https://pbsystem.planetbids.com/portal/16151/bo/bo-detail/112297
