bidId,issueDate,title,invitationNum,bidDueDate,stageId,bidResponseFormat,bidTemplateType,bidTypeId,byInvitation,companyId,stageStr,bidResponseFormatStr,page_scrape,estimatedBid,County,CategoriesList,url
111119,2023-10-27 07:36:19.130,Tenant-Based Rental Assistance (TBRA) REBID,RFP 23-006-6400,2023-12-08 14:00:00.000,3,1,1,4,False,23532,Bidding,Electronic,1,,Los Angeles,"['32855 - Housing Consulting', '33191 - Administration of Housing Programs', '188018 - Transitional housing agencies']",https://pbsystem.planetbids.com/portal/23532/bo/bo-detail/111119
111439,2023-11-07 15:50:07.820,Preparation of Consolidated Plan and Analysis of Impediments to Fair Housing Choice and the Fair Housing Plan,RFP 23-004-6400,2023-12-11 14:00:00.000,3,1,1,4,False,23532,Bidding,Electronic,1,Estimated $50K,Los Angeles,"['24047 - Other Management Consulting Services', '32855 - Housing Consulting', '33191 - Administration of Housing Programs', '33192 - Administration of Urban Planning and Community and Rural Development', '33664 - Consultant Fair Housing', '74644 - Consulting: Community Development', '74672 - Consulting: Governmental', '74675 - Consulting: Urban Planning', '74985 - Planning, Urban (Community, Regional, Area Wide, State)', '75120 - Consulting, Analytical Studies', '75799 - Land Development, Planning/Engineering', '75870 - Consulting Services, Administrative', '75873 - Consulting, Compliance', '76845 - Consulting Services']",https://pbsystem.planetbids.com/portal/23532/bo/bo-detail/111439
111387,2023-11-07 07:18:11.537,Document Imaging and Indexing Services,RFP 23-001-1200,2023-12-11 14:00:00.000,3,1,1,4,False,23532,Bidding,Electronic,1,,Los Angeles,"['24067 - Document Preparation Services', '51556 - Document Recovery Services, Disaster include Paper Documents, Film, Tape', '74937 - Security, Fire, Safety, and Emergency Services (including Disaster Document Recovery)', '75096 - Software, Inventory Management (Computer)', '75097 - Software, OCR, Scanner (Computer)']",https://pbsystem.planetbids.com/portal/23532/bo/bo-detail/111387
111889,2023-11-21 07:28:32.650,Certificate in Applied Positive Psychology Program (CAPP),23-002-1800,2024-01-03 14:00:00.000,3,1,1,4,False,23532,Bidding,Electronic,1,TBD,Los Angeles,"['32856 - Human Consulting: Including Mental Health Consulting', '32926 - Medical Consulting', '33188 - Administration of Public Health Programs', '75886 - Administration Services, Health', '76851 - Health Related Services']",https://pbsystem.planetbids.com/portal/23532/bo/bo-detail/111889
112026,2023-11-27 15:25:22.423,Request for Quotes - Rotork Model IQT500,12401619,2023-12-11 14:00:00.000,3,1,16,8,False,14769,Bidding,Electronic,1,,Fresno,"['4145 - Agricultural Equipment, Implements, And Accessories (See Class 022 For Parts) ', '4146 - Agricultural Equipment And Implement Parts', '4209 - Electrical Equipment And Supplies (Except Cable And Wire) ', '4210 - Electronic Equipment, Components, Parts, And Accessories (See Class 730 For Testing Or Analyzing Type)', '4211 - Energy Collecting Equipment And Accessories: Solar And Wind ', '4214 - Engineering And Architectural Equipment, Surveying Equipment, Drawing Instruments, And Supplies', '4250 - Hand Tools (Powered And Non-Powered), Accessories And Supplies ', '4310 - Power Generation Equipment, Accessories, And Supplies ', '4311 - Power Transmission Equipment (Electrical, Mechanical, Air And Hydraulic)', '4315 - Pumping Equipment And Accessories ', '4331 - Engineering And Technical Instruction Equipment And Materials (For Air Conditioning, Electronics, Machine Shop, Etc.) ', '4341 - Steam And Hot Water Fittings, Accessories, And Supplies ', '4347 - Testing Apparatus And Instruments (Not For Electrical Or Electronic Measurements) ', '4359 - Water Supply, Groundwater, Sewage Treatment, And Related Equipment (Not For Air Conditioning, Steam Boiler, Or Laboratory Reagent Water) ', '4468 - Public Utilities: Water, Sewer And Gas Maintenance And Repair ', '4504 - Electrical ', '4513 - Plumbing ', '4593 - Equipment Maintenance And Repair Services For Laundry, Lawn, Painting, Plumbing, And Spraying Equipment', '4808 - Wastewater Treatment Plant, Operations, And Testing', '4809 - Water And Wastewater Treatment Services ']",https://pbsystem.planetbids.com/portal/14769/bo/bo-detail/112026
111724,2023-11-15 11:53:46.717,Upgrade of Programmable Logic Controller #1 and #5 at Regional Wastewater Reclamation Facility,12400442,2023-12-12 15:00:00.000,3,1,2,1,False,14769,Bidding,Electronic,1,,Fresno,"[""4168 - Builder's Exchange & Plan Rooms"", '4188 - Computer Hardware And Peripherals For Microcomputers ', '4189 - Computers, Hardware, Software', '4190 - Computer Hardware And Peripherals For Mini And Main Frame Computers ', '4192 - Computer Software For Microcomputers (Preprogrammed) ', '4193 - Computer Software For Mini And Mainframe Computers (Preprogrammed) ', '4208 - Electrical Cables And Wires (Not Electronic) ', '4209 - Electrical Equipment And Supplies (Except Cable And Wire) ', '4251 - Hardware And Related Items ', '4270 - Machinery And Hardware, Industrial ', '4311 - Power Transmission Equipment (Electrical, Mechanical, Air And Hydraulic)', '4347 - Testing Apparatus And Instruments (Not For Electrical Or Electronic Measurements) ', '4368 - Automation; Controls; Instrumentation - Architectural Services ', '4410 - Utilities (Gas, Steam, Electric) - Architectural ', '4414 - Communications Systems; Tv; Microwave; Telephone; Computer ', '4487 - Wiring And Other Electrical Maintenance And Repair Services ', '4504 - Electrical ', '4540 - Computer Hardware Consulting ', '4541 - Computer Software Consulting ', '4582 - Utilities: Gas, Water, Electric Consulting ', '4583 - Data Processing, Computer, Programming, And Software Services', '4584 - Networking Services (Including Installation, Security, And Maintenance)', '4589 - Equipment Maintenance And Repair Services For Automobiles, Trucks, Trailers, Transit Buses And Other Vehicles', '4596 - Equipment Maintenance And Repair Services For Computers, Office, Photographic, And Radio/Television Equipment', '4615 - Computer Management Services ', '4636 - Waste Management Services ', '4673 - Scanning And Testing For Electrical Hot-Spots, Etc. ', '4683 - Utility Services, Electric, Gas, Water ', '4699 - Cable Construction, Installation And Maintenance (Fiber Optic, Communication, Computer, Etc.) ', '4771 - Hardware Manufacturing Services', '4808 - Wastewater Treatment Plant, Operations, And Testing', '4809 - Water And Wastewater Treatment Services ']",https://pbsystem.planetbids.com/portal/14769/bo/bo-detail/111724
110687,2023-10-16 07:54:24.170,Request for Proposals for CNG Station Service & Maintenance,12400018,2023-12-12 15:00:00.000,3,3,4,4,False,14769,Bidding,Electronic and Paper,1,,Fresno,"[""4168 - Builder's Exchange & Plan Rooms"", '4238 - Fuel, Oil, Grease And Lubricants ', '4366 - Airports (Lighting, Fueling, Navaids) - Architectural Services ', '4377 - Energy Conservation; New Energy Sources (Solar, Etc.) - Architectural Services ', '4383 - Gas Systems (Propane, Natural, Etc.) - Architectural ', '4397 - Petroleum And Fuel (Storage And Distribution) - Architectural ', '4410 - Utilities (Gas, Steam, Electric) - Architectural ', '4468 - Public Utilities: Water, Sewer And Gas Maintenance And Repair ', '4582 - Utilities: Gas, Water, Electric Consulting ', '4587 - Environmental And Ecological Services ', '4589 - Equipment Maintenance And Repair Services For Automobiles, Trucks, Trailers, Transit Buses And Other Vehicles', '4611 - Bio-Solids Management Services', '4624 - Fuel Management Services ', '4630 - Pipeline Management Services ', '4634 - Transit Management Services ', '4683 - Utility Services, Electric, Gas, Water ', '4737 - Petroleum Production, Transmission, And Distribution Services For Oil And Gas Wells  (Including Drilling, Exploration, Extraction, Project Management, Etc.)', '4741 - Petroleum Refining Services ', '4742 - Purification Services For Contaminated Petroleum Products ', '4765 - Well Services (Including Oil, Gas, And Water): Drilling, Plugging, Consulting, Maintenance, Repair, Etc. ']",https://pbsystem.planetbids.com/portal/14769/bo/bo-detail/110687
111690,2023-11-17 08:28:09.117,MAILBOX ONLY - RFP for Professional Consulting Services - Community Risk Analysis (CRA) and Create a Community Risk Reduction (CRR) Plan,12401501,2023-12-12 17:00:00.000,3,3,4,4,False,14769,Bidding,Electronic and Paper,1,,Fresno,"[""4168 - Builder's Exchange & Plan Rooms"", '4418 - Safety Engineering And Accident Studies; Osha Studies ', '4523 - Consulting Services ', '4524 - Accounting/Auditing/Budget Consulting ', '4525 - Administrative Consulting ', '4526 - Advertising Consulting ', '4529 - Analytical Studies And Surveys (Consulting) ', '4537 - Business Consulting, Small ', '4538 - Communications: Public Relations Consulting ', '4539 - Community Development Consulting ', '4545 - Economy Consulting ', '4546 - Education And Training Consulting ', '4549 - Engineering Consulting ', '4550 - Environmental Consulting ', '4552 - Finance/Economics Consulting ', '4556 - Governmental Consulting ', '4565 - Legal Consulting ', '4566 - Management Consulting ', '4571 - Organizational Development Consulting ', '4578 - Security/Safety Consulting ']",https://pbsystem.planetbids.com/portal/14769/bo/bo-detail/111690
111685,2023-11-15 08:06:48.807,Mailbox Only RFP for Central Services Cost Allocation Plan and Indirect Cost Rate Services,12401452,2023-12-15 15:00:00.000,3,1,4,4,False,14769,Bidding,Electronic,1,,Fresno,"[""4168 - Builder's Exchange & Plan Rooms"", '4523 - Consulting Services ', '4524 - Accounting/Auditing/Budget Consulting ', '4529 - Analytical Studies And Surveys (Consulting) ', '4538 - Communications: Public Relations Consulting ', '4552 - Finance/Economics Consulting ', '4556 - Governmental Consulting ', '4559 - Human Relations Consulting ', '4560 - Human Resources Consulting', '4565 - Legal Consulting ', '4566 - Management Consulting ', '4567 - Marketing Consulting ', '4571 - Organizational Development Consulting ', '4583 - Data Processing, Computer, Programming, And Software Services', '4647 - Cost Estimating ']",https://pbsystem.planetbids.com/portal/14769/bo/bo-detail/111685
111620,2023-11-10 09:24:09.480,Mailbox Only - Request for Qualifications (RFQ) for City of Fresno Design of Improvements for the Leaky Acres Groundwater Recharge Facility,12401473,2023-12-15 16:00:00.000,3,2,4,16,False,14769,Bidding,Paper,1,,Fresno,"[""4168 - Builder's Exchange & Plan Rooms"", '4214 - Engineering And Architectural Equipment, Surveying Equipment, Drawing Instruments, And Supplies', '4310 - Power Generation Equipment, Accessories, And Supplies ', '4311 - Power Transmission Equipment (Electrical, Mechanical, Air And Hydraulic)', '4359 - Water Supply, Groundwater, Sewage Treatment, And Related Equipment (Not For Air Conditioning, Steam Boiler, Or Laboratory Reagent Water) ', '4363 - Architectural Services, Professional ', '4367 - Architect Services, Professional ', '4368 - Automation; Controls; Instrumentation - Architectural Services ', '4369 - Buildings - Architectural Design ', '4376 - Energy Management - Architectural ', '4378 - Environmental - Architectural ', '4384 - General Construction - Architectural ', '4385 - Graphic Design - Architectural', '4392 - Irrigation; Drainage; Flood Control - Architectural ', '4394 - Land Development And Planning - Architectural ', '4399 - Planning, Site (Installation And Project) ', '4405 - Sewage Collection, Treatment, And Disposal - Architectural ', '4406 - Solid Wastes; Disposal Systems - Architectural Services ', '4410 - Utilities (Gas, Steam, Electric) - Architectural ', '4412 - Water Supply, Treatment And Distribution - Architectural ', '4418 - Safety Engineering And Accident Studies; Osha Studies ', '4441 - Energy Conservation Services (Including Audits) ', '4442 - Energy Computerized Control System (Hvac, Lighting, Utilities, Etc) Installation, Maintenance And Repair Services ', '4468 - Public Utilities: Water, Sewer And Gas Maintenance And Repair ', '4489 - Construction Services, General (Incl. Maintenance And Repair Services)', '4523 - Consulting Services ', '4527 - Agricultural Consulting ', '4529 - Analytical Studies And Surveys (Consulting) ', '4532 - Architectural Consulting ', '4542 - Construction Consulting ', '4548 - Energy Conservation Consulting', '4549 - Engineering Consulting ', '4550 - Environmental Consulting ', '4551 - Feasibility Studies (Consulting) ', '4555 - Geological Consulting And Study ', '4564 - Landscaping Consulting ', '4582 - Utilities: Gas, Water, Electric Consulting ', '4586 - Engineering Services, Professional ', '4587 - Environmental And Ecological Services ', '4616 - Conservation/Resource Management Services ', '4630 - Pipeline Management Services ', '4635 - Utility Management Services ', '4636 - Waste Management Services ', '4653 - Economic Impact Studies ', '4655 - Environmental Impact Studies ', '4659 - Industrial Development And Planning Services ', '4662 - Laboratory And Field Testing Services (Not Otherwise Classified) Incl. Hazardous Waste', '4683 - Utility Services, Electric, Gas, Water ', '4765 - Well Services (Including Oil, Gas, And Water): Drilling, Plugging, Consulting, Maintenance, Repair, Etc. ', '4783 - Inspection Services, Construction Type ', '4790 - Solid Or Liquid Waste Disposal (Including Management Services) (See 926-45 For Hazardous Waste Disposal)', '4795 - Tank Installation, Removal, Disposal, And Related Services (Including Septic And Underground Type)', '4805 - Water Supply Plant Operating And Monitoring System Services (Including Water Resources Development And Water Quality Management Services) ', '4808 - Wastewater Treatment Plant, Operations, And Testing', '4809 - Water And Wastewater Treatment Services ', '4823 - Erosion Control Services ', '4826 - Flood Control Services ']",https://pbsystem.planetbids.com/portal/14769/bo/bo-detail/111620
