catId,catName
327910,Abrasive Product Manufacturing
325520,Adhesive Manufacturing
924110,Administration of Air and Water Resource and Solid Waste Management Programs
924120,Administration of Conservation Programs
923110,Administration of Education Programs
926110,Administration of General Economic Programs
925110,Administration of Housing Programs
923130,"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Pr"
923120,Administration of Public Health Programs
925120,Administration of Urban Planning and Community and Rural Development
923140,Administration of Veterans' Affairs
541611,Administrative Management and General Management Consulting Services
541810,Advertising Agencies
541870,Advertising Material Distribution Services
711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures"
333912,Air and Gas Compressor Manufacturing
333411,Air Purification Equipment Manufacturing
488111,Air Traffic Control
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipmen
336412,Aircraft Engine and Engine Parts Manufacturing
336411,Aircraft Manufacturing
325181,Alkalies and Chlorine Manufacturing
713990,All Other Amusement and Recreation Industries
112990,All Other Animal Production
811198,All Other Automotive Repair and Maintenance
325188,All Other Basic Inorganic Chemical Manufacturing
325199,All Other Basic Organic Chemical Manufacturing
561499,All Other Business Support Services
532299,All Other Consumer Goods Rental
322299,All Other Converted Paper Product Manufacturing
315299,All Other Cut and Sew Apparel Manufacturing
452990,All Other General Merchandise Stores
111199,All Other Grain Farming
446199,All Other Health and Personal Care Stores
442299,All Other Home Furnishings Stores
333298,All Other Industrial Machinery Manufacturing
519190,All Other Information Services
524298,All Other Insurance Related Activities
316999,All Other Leather Good and Allied Product Manufacturing
541199,All Other Legal Services
212299,All Other Metal Ore Mining
621999,All Other Miscellaneous Ambulatory Health Care Services
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing
111998,All Other Miscellaneous Crop Farming
335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
311999,All Other Miscellaneous Food Manufacturing
333999,All Other Miscellaneous General Purpose Machinery Manufacturing
339999,All Other Miscellaneous Manufacturing
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing
611699,All Other Miscellaneous Schools and Instruction
453998,All Other Miscellaneous Store Retailers (except Tobacco Stores)
314999,All Other Miscellaneous Textile Product Mills
562998,All Other Miscellaneous Waste Management Services
321999,All Other Miscellaneous Wood Product Manufacturing
441229,All Other Motor Vehicle Dealers
