bidId,issueDate,title,invitationNum,bidDueDate,stageId,bidResponseFormat,bidTemplateType,bidTypeId,byInvitation,companyId,stageStr,bidResponseFormatStr,page_scrape,estimatedBid,County,url,CategoriesList
110831,2023-10-17 09:16:28.890,"Burlingame Bicycle Boulevard and Mercy Neighborhood Traffic Calming Project, City Project No. 86640",,2023-10-31 14:00:00.000,3,1,2,1,False,46106,Bidding,Electronic,1,,San Mateo,https://pbsystem.planetbids.com/portal/46106/bo/bo-detail/110831,
111001,2023-10-20 12:44:00.250,"City-Wide Pedestrian Safe Routes and Mobility Improvements, City Project No. 86510, Federal Aid Project No. CML-5171(026)",,2023-11-07 14:00:00.000,3,1,2,1,False,46106,Bidding,Electronic,1,,San Mateo,https://pbsystem.planetbids.com/portal/46106/bo/bo-detail/111001,
112185,2023-12-01 13:34:39.743,CalSHAPE HVAC Assessment Services,RFP No. 2023.07,2024-01-08 14:00:00.000,3,2,4,4,False,51244,Bidding,Paper,1,Not Found,,https://pbsystem.planetbids.com/portal/51244/bo/bo-detail/112185,[]
111556,2023-11-08 14:47:41.837,Aging in Place - Fall Prevention,23-49-YT,2023-12-11 14:30:00.000,3,3,4,4,False,14599,Bidding,Electronic and Paper,1,,Stanislaus,https://pbsystem.planetbids.com/portal/14599/bo/bo-detail/111556,"['198685 - All Other Support Services', '198731 - Home Health Care Services', '198745 - Services for the Elderly and Persons with Disabilities']"
111603,2023-11-17 09:39:29.657,Fireworks Show at Woodward Reservoir Regional Park,23-63-YT,2023-12-12 14:30:00.000,3,3,1,1,False,14599,Bidding,Electronic and Paper,1,,Stanislaus,https://pbsystem.planetbids.com/portal/14599/bo/bo-detail/111603,"['386692 - Amusement, Decorations, Entertainment, Gifts, Toys, Etc.', '386693 - Fireworks Display and Carnival Services']"
111423,2023-11-07 14:43:48.437,Public Safety Center (PSC) Wastewater Screening Improvements,110723,2023-12-13 14:00:00.000,3,2,1,1,False,14599,Bidding,Paper,1,,Stanislaus,https://pbsystem.planetbids.com/portal/14599/bo/bo-detail/111423,"['197808 - Water and Sewer Line and Related Structures Construction', '197823 - Plumbing, Heating, and Air-Conditioning Contractors', '198127 - Plumbing Fixture Fitting and Trim Manufacturing']"
111584,2023-11-09 10:25:26.587,One (1) Heavy Duty Truck,23-64-YT,2023-12-14 14:30:00.000,3,3,1,1,False,14599,Bidding,Electronic and Paper,1,,Stanislaus,https://pbsystem.planetbids.com/portal/14599/bo/bo-detail/111584,"['198178 - Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing', '198241 - Heavy Duty Truck Manufacturing', '198242 - Motor Vehicle Body Manufacturing', '198589 - Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing']"
109357,2023-11-17 15:13:53.113,Behavioral Health Outreach and Engagement,23-55-SD,2024-01-03 14:30:00.000,3,3,4,4,False,14599,Bidding,Electronic and Paper,1,,Stanislaus,https://pbsystem.planetbids.com/portal/14599/bo/bo-detail/109357,"['198714 - Offices of Physicians (except Mental Health Specialists)', '198715 - Offices of Physicians, Mental Health Specialists', '198719 - Offices of Mental Health Practitioners (except Physicians)', '198722 - Offices of All Other Miscellaneous Health Practitioners', '198724 - Outpatient Mental Health and Substance Abuse Centers', '198740 - Residential Mental Health and Substance Abuse Facilities', '198834 - Other Social Advocacy Organizations', '198856 - Administration of Public Health Programs']"
109355,2023-11-02 15:33:55.150,CalFresh Outreach and Enrollment,23-52-SD,2024-01-09 14:30:00.000,3,3,4,4,False,14599,Bidding,Electronic and Paper,1,,Stanislaus,https://pbsystem.planetbids.com/portal/14599/bo/bo-detail/109355,"['198573 - Health and Welfare Funds', '198713 - Educational Support Services', '198747 - Community Food Services', '198847 - Other General Government Support', '198855 - Administration of Education Programs', '198863 - Administration of General Economic Programs']"
111525,2023-11-09 14:47:33.440,EMERGENCY ALERTING PHONE AND RECORDING SYSTEMS FOR THE ONTARIO INTERNATIONAL AIRPORT,2023-RFP-015,2023-12-14 17:00:00.000,3,1,1,4,False,31225,Bidding,Electronic,1,,San Bernardino,https://pbsystem.planetbids.com/portal/31225/bo/bo-detail/111525,"['100138 - Airport Equipment (Not Otherwise Classified) ', '100645 - Transmitters, Emergency Alarm Type (To incl. Equipment Operation Status Reporting)', '108344 - Other Airport Operations']"
111229,2023-10-27 18:05:21.987,Security System Enhancements (SSE) Phase 1 and 2 for ONTARIO INTERNATIONAL AIRPORT,2023-RFP-011,2023-12-15 14:00:00.000,3,1,4,4,False,31225,Bidding,Electronic,1,,San Bernardino,https://pbsystem.planetbids.com/portal/31225/bo/bo-detail/111229,"['99466 - Security and Access Systems Maintenance and Repair ', '99604 - Airport Management Services ', '99811 - Security/Safety Consulting ', '101415 - Security and Access Systems (Airport, Library, Hospitals, etc.) Rental or Lease ', '101884 - Access Control Systems and Security Systems ', '102441 - Security Screening Services, Personnel ', '102493 - Airport Facility Construction ', '102494 - Airport Facility Maintenance and Repair ', '108344 - Other Airport Operations', '108534 - Security Systems Services (except Locksmiths)']"
111872,2023-11-17 18:03:59.213,Digital Media Agency for Ontario International Airport,2023-RFP-017,2024-01-11 17:00:00.000,3,1,4,4,False,31225,Bidding,Electronic,1,,San Bernardino,https://pbsystem.planetbids.com/portal/31225/bo/bo-detail/111872,"['99819 - Application, Infrastructure, Hosting and Cloud Computing Services', '99835 - E-Commerce Software Development Services ', '99852 - Software Maintenance/Support ', '102712 - Web Page Design, Management and Maintenance Services', '102733 - Computer Software Consulting ', '102762 - Marketing Consulting ', '108390 - Data Processing, Hosting, and Related Services', '108486 - Marketing Consulting Services']"
111119,2023-10-27 07:36:19.130,Tenant-Based Rental Assistance (TBRA) REBID,RFP 23-006-6400,2023-12-08 14:00:00.000,3,1,1,4,False,23532,Bidding,Electronic,1,,Los Angeles,https://pbsystem.planetbids.com/portal/23532/bo/bo-detail/111119,"['32855 - Housing Consulting', '33191 - Administration of Housing Programs', '188018 - Transitional housing agencies']"
